E1,E2,E3,DUB,ubiquitinBinding,proteome
,,G7LDV4,,A0A1S3RK76,Q01718
,,G7LEE6,,A0A1S3RSK5,Q01726
,,G7LFA2,,A0A1S3RU44,Q01740
,,G7MFD8,,A0A1S3S0G4,Q01780
,,G7MFZ7,,A0A1S3S1N8,Q01804
,,G7MJE1,,A0A1S3S1P1,Q01813
,,G7MNW5,,A0A1S3S1R6,Q01814
,,G7MZV5,,A0A1S3S3Z9,Q01826
,,G7NB84,,A0A1S3S403,Q01831
,,G7NK32,,A0A1S3S404,Q01850
,,G7NKK2,,A0A1S3S405,Q01851
,,G7NRR5,,A0A1S3S411,Q01860
,,G7ZXV0,,A0A1S3S4B8,Q01892
,,G7ZZ98,,A0A1S3S4H0,Q01955
,,G8A1N5,,A0A1S3SCN3,Q01959
,,G8A269,,A0A1S3SIQ6,Q01968
,,H2L3L7,,A0A1S3SIR7,Q01970
,,H2L3P5,,A0A1S3SIR9,Q01973
,,H2L3Y7,,A0A1S3SIS1,Q01974
,,H2L480,,A0A1S3T7Z9,Q01995
,,H2L546,,A0A1S3TEL3,Q02040
,,H2L646,,A0A1S3TLX1,Q02045
,,H2L6A7,,A0A1S3TW44,Q02080
,,H2L8D5,,A0A1S3U0S9,Q02083
,,H2L971,,A0A1S3U122,Q02094
,,H2LB13,,A0A1S3U382,Q02108
,,H2LBA2,,A0A1S3U7A7,Q02127
,,H2LBD6,,A0A1S3U9S1,Q02153
,,H2LBQ1,,A0A1S3U9T3,Q02156
,,H2LC20,,A0A1S3U9T7,Q02161
,,H2LC58,,A0A1S3U9T8,Q02218
,,H2LCE0,,A0A1S3UFH2,Q02221
,,H2LCU3,,A0A1S3UJ45,Q02224
,,H2LDA5,,A0A1S3URR7,Q02241
,,H2LDD8,,A0A1S3URX1,Q02246
,,H2LDG5,,A0A1S3V6B0,Q02252
,,H2LG90,,A0A1S3V9J5,Q02297
,,H2LGP4,,A0A1S3VDQ2,Q02318
,,H2LGS2,,A0A1S3VF63,Q02325
,,H2LH73,,A0A1S3VSJ4,Q02338
,,H2LIM7,,A0A1S3VW97,Q02363
,,H2LJZ0,,A0A1S3VWG2,Q02388
,,H2LKD9,,A0A1S3W1B7,Q02388
,,H2LL42,,A0A1S3W4S3,Q02388
,,H2LN33,,A0A1S3W5E6,Q02388
,,H2LNF7,,A0A1S3W5Y1,Q02388
,,H2LPQ1,,A0A1S3W6B4,Q02410
,,H2LQF3,,A0A1S3WE00,Q02413
,,H2LQL7,,A0A1S3WE94,Q02487
,,H2LQT2,,A0A1S3WEQ0,Q02505
,,H2LRB6,,A0A1S3WFC3,Q02505
,,H2LS16,,A0A1S3WFM4,Q02509
,,H2LS89,,A0A1S3WHG7,Q02535
,,H2LSC7,,A0A1S3WJ36,Q02539
,,H2LSF0,,A0A1S3WV32,Q02543
,,H2LSR0,,A0A1S3WVM2,Q02548
,,H2LSR1,,A0A1S3WVW0,Q02556
,,H2LSS1,,A0A1S3WXG8,Q02575
,,H2LT21,,A0A1S3X056,Q02577
,,H2LT22,,A0A1S3X241,Q02641
,,H2LTW9,,A0A1S3XB94,Q02643
,,H2LU81,,A0A1S3XBF7,Q02742
,,H2LUA9,,A0A1S3XEC9,Q02747
,,H2LUU2,,A0A1S3XFZ2,Q02750
,,H2LVB1,,A0A1S3XG79,Q02763
,,H2LVC5,,A0A1S3XIW5,Q02779
,,H2LVT5,,A0A1S3XK65,Q02790
,,H2LW02,,A0A1S3XKM2,Q02809
,,H2LW32,,A0A1S3XQT4,Q02817
,,H2LWB0,,A0A1S3XQZ1,Q02817
,,H2LWJ3,,A0A1S3XT86,Q02817
,,H2LWS3,,A0A1S3XVS4,Q02817
,,H2LX39,,A0A1S3XZR5,Q02817
,,H2LX54,,A0A1S3Y6I4,Q02817
,,H2LYR6,,A0A1S3Y940,Q02817
,,H2LZL7,,A0A1S3Y9N8,Q02817
,,H2LZR1,,A0A1S3YCS6,Q02817
,,H2LZT2,,A0A1S3YH01,Q02817
,,H2LZW3,,A0A1S3YSR8,Q02817
,,H2M0J4,,A0A1S3Z3C6,Q02818
,,H2M2C7,,A0A1S3ZGJ7,Q02833
,,H2M4A2,,A0A1S3ZH93,Q02846
,,H2M4R5,,A0A1S3ZL66,Q02878
,,H2M5B2,,A0A1S3ZM38,Q02880
,,H2M5M0,,A0A1S3ZMH5,Q02928
,,H2M5U7,,A0A1S3ZMX8,Q02962
,,H2M785,,A0A1S3ZNG0,Q02978
,,H2M794,,A0A1S3ZNI2,Q02985
,,H2M7N4,,A0A1S3ZPP4,Q03001
,,H2M7V6,,A0A1S3ZYI7,Q03001
,,H2M8N3,,A0A1S3ZYU9,Q03001
,,H2M8V3,,A0A1S3ZYW5,Q03001
,,H2M914,,A0A1S3ZZ11,Q03001
,,H2M926,,A0A1S3ZZN8,Q03001
,,H2M929,,A0A1S4A1W7,Q03001
,,H2MCL1,,A0A1S4ADR9,Q03001
,,H2MCQ3,,A0A1S4AEE4,Q03001
,,H2MDG1,,A0A1S4AHV1,Q03001
,,H2MDV5,,A0A1S4ALN4,Q03001
,,H2MED1,,A0A1S4AMF8,Q03001
,,H2MEL0,,A0A1S4APS1,Q03001
,,H2MER5,,A0A1S4ARU0,Q03001
,,H2MEV6,,A0A1S4AT08,Q03001
,,H2MFA0,,A0A1S4AWL9,Q03001
,,H2MFB5,,A0A1S4AYL8,Q03001
,,H2MGY9,,A0A1S4B1E0,Q03001
,,H2MHT7,,A0A1S4B897,Q03001
,,H2MJ16,,A0A1S4BD97,Q03001
,,H2MJT9,,A0A1S4BJ55,Q03001
,,H2MJV8,,A0A1S4BJ82,Q03001
,,H2MKR3,,A0A1S4BJ86,Q03001
,,H2MLZ9,,A0A1S4BMU0,Q03001
,,H2MMH1,,A0A1S4BPP4,Q03001
,,H2MMY1,,A0A1S4BQF3,Q03001
,,H2MN69,,A0A1S4BTB6,Q03001
,,H2MNE5,,A0A1S4BU80,Q03001
,,H2MQ43,,A0A1S4BUH9,Q03001
,,H2MRU0,,A0A1S4BX41,Q03001
,,H2MS33,,A0A1S4C0F2,Q03013
,,H2MW28,,A0A1S4C0N4,Q03052
,,H2MXD6,,A0A1S4C2D4,Q03060
,,H2MY66,,A0A1S4C330,Q03111
,,H2MYD4,,A0A1S4C7H5,Q03113
,,H2N040,,A0A1S4C9S2,Q03135
,,H2N267,,A0A1S4CDB0,Q03154
,,H2PXZ4,,A0A1S4CFV8,Q03164
,,H2PY06,,A0A1S4CKW8,Q03164
,,H2Q0N1,,A0A1S4CN66,Q03164
,,H2Q0S2,,A0A1S4CQ56,Q03164
,,H2Q1H4,,A0A1S4CWD0,Q03164
,,H2Q2Y1,,A0A1S4CWV6,Q03164
,,H2Q2Y4,,A0A1S4D284,Q03164
,,H2Q3F0,,A0A1S4D4K7,Q03164
,,H2Q3F3,,A0A1S4D4R2,Q03164
,,H2Q3K0,,A0A1S4D6J9,Q03167
,,H2Q3K2,,A0A1S4D7F6,Q03169
,,H2Q3K3,,A0A1S4D915,Q03181
,,H2Q3Q7,,A0A1S4DCE8,Q03252
,,H2Q4J2,,A0A1S4DCS5,Q03393
,,H2Q4Y2,,A0A1S4DJ97,Q03395
,,H2Q681,,A0A1S4DJL9,Q03403
,,H2Q6X2,,A0A1S4DKB5,Q03405
,,H2Q7G1,,A0A1S4DL30,Q03426
,,H2Q7K8,,A0A1S4DL32,Q03431
,,H2Q821,,A0A1S4DLL9,Q03468
,,H2Q9R3,,A0A1S4DRD0,Q03518
,,H2QA80,,A0A1S4DXH7,Q03519
,,H2QAB6,,A0A1S4FA26,Q03591
,,H2QAB9,,A0A1S4FBV4,Q03692
,,H2QAF9,,A0A1S4FTK4,Q03701
,,H2QAM1,,A0A1S4GFC1,Q03721
,,H2QB00,,A0A1S4GYF9,Q03923
,,H2QBQ3,,A0A1S4GZJ0,Q03924
,,H2QBZ2,,A0A1S4H4C1,Q03933
,,H2QCP1,,A0A1S4H6Z1,Q04206
,,H2QDK8,,A0A1S4H911,Q04323
,,H2QEM2,,A0A1S4KRN9,Q04446
,,H2QF26,,A0A1S7HBU1,Q04609
,,H2QG99,,A0A1S7HCW6,Q04637
,,H2QHE3,,A0A1S7HFE2,Q04656
,,H2QHY0,,A0A1S7HIH9,Q04671
,,H2QI97,,A0A1S7HKU4,Q04695
,,H2QIF9,,A0A1S7HMP3,Q04724
,,H2QII9,,A0A1S7HP88,Q04725
,,H2QJV3,,A0A1S7HS21,Q04726
,,H2QKH5,,A0A1S7HUP3,Q04727
,,H2QKK0,,A0A1S7HXV5,Q04743
,,H2QLB3,,A0A1S7HZ36,Q04756
,,H2QLJ3,,A0A1S7UH70,Q04759
,,H2QLR9,,A0A1S8B605,Q04760
,,H2QMM6,,A0A1S8BAI5,Q04771
,,H2QN18,,A0A1S8BF64,Q04828
,,H2QNK4,,A0A1S8BGK7,Q04837
,,H2QNL0,,A0A1S8BGM3,Q04844
,,H2QPV7,,A0A1S8BIH2,Q04864
,,H2QPV8,,A0A1S8BLV5,Q04912
,,H2QQA9,,A0A1S8BMU7,Q04917
,,H2QQE1,,A0A1S8VI89,Q05048
,,H2QQE8,,A0A1S8VJ45,Q05066
,,H2QQJ8,,A0A1S8VMF4,Q05084
,,H2QS69,,A0A1S8VS91,Q05086
,,H2QSC5,,A0A1S8VWM1,Q05193
,,H2QSC8,,A0A1S8W5D8,Q05195
,,H2QSE9,,A0A1S8W8J9,Q05209
,,H2QSK5,,A0A1S8W8L9,Q05315
,,H2QTB8,,A0A1S8WGE9,Q05329
,,H2QTG6,,A0A1S8WGF8,Q05397
,,H2QUD0,,A0A1S8WM06,Q05469
,,H2QUS1,,A0A1S9D4G9,Q05513
,,H2QUT5,,A0A1S9D4Z7,Q05586
,,H2QUT6,,A0A1S9D6A4,Q05639
,,H2QVP1,,A0A1S9DCX8,Q05655
,,H2QVR8,,A0A1S9DD12,Q05682
,,H2QVX7,,A0A1S9DNF2,Q05707
,,H2QW87,,A0A1S9DUI0,Q05823
,,H2QWD9,,A0A1S9DY02,Q05901
,,H2QWI4,,A0A1S9RB87,Q05923
,,H2QX03,,A0A1S9RDL6,Q05932
,,H2QXJ9,,A0A1S9RF74,Q05940
,,H2QXQ7,,A0A1S9RFK3,Q05996
,,H2QXU7,,A0A1S9RG81,Q05BQ5
,,H2QZV1,,A0A1S9RH67,Q05BV3
,,H2R0X4,,A0A1S9RHK1,Q05C16
,,H2R345,,A0A1S9RRZ1,Q05D32
,,H2R381,,A0A1S9RSJ4,Q05D60
,,H2R3C0,,A0A1S9RUM3,Q05DH4
,,H2R4C6,,A0A1S9RY10,Q06033
,,H2R4K8,,A0A1T3C5B3,Q06055
,,H2R7G2,,A0A1T3C5S2,Q06124
,,H2R7U0,,A0A1T3C6K3,Q06136
,,H2R8E1,,A0A1T3CBR2,Q06141
,,H2R8E3,,A0A1T3CCG9,Q06187
,,H2R8P4,,A0A1T3CEX9,Q06190
,,H2R9B4,,A0A1T3CQE6,Q06203
,,H2RA19,,A0A1T3D0M3,Q06210
,,H2RAU8,,A0A1T4XAU9,Q06265
,,H2RBB1,,A0A1T4XC50,Q06278
,,H2RE63,,A0A1T4YDF9,Q06323
,,H2REI6,,A0A1T4YV21,Q06330
,,H2RHP1,,A0A1U7GB83,Q06416
,,H2XM66,,A0A1U7HJN6,Q06418
,,H2XPG6,,A0A1U7LR19,Q06432
,,H2XSG4,,A0A1U7LSD1,Q06455
,,H2XSL2,,A0A1U7LTP7,Q06481
,,H2XTV5,,A0A1U7Q4V4,Q06495
,,H2XUH7,,A0A1U7Q525,Q06520
,,H2XYF8,,A0A1U7Q5E3,Q06546
,,H2XYS7,,A0A1U7Q753,Q06547
,,H2Y1G5,,A0A1U7Q8G4,Q06587
,,H2Y323,,A0A1U7Q8K2,Q06609
,,H2Y3H8,,A0A1U7Q9L3,Q06643
,,H3DRL7,,A0A1U7QAU5,Q06710
,,H3DRT6,,A0A1U7QB07,Q06787
,,H3DVD7,,A0A1U7QB91,Q06828
,,H3DVJ3,,A0A1U7QC20,Q06830
,,H3E3K9,,A0A1U7QCZ5,Q07001
,,H3E6B7,,A0A1U7QHQ9,Q07002
,,H3EAJ8,,A0A1U7QI27,Q07011
,,H3EBB1,,A0A1U7QK37,Q07020
,,H3EDQ7,,A0A1U7QL34,Q07021
,,H3EF52,,A0A1U7QN15,Q07065
,,H3EJ01,,A0A1U7QP84,Q07075
,,H3EVK7,,A0A1U7QPV3,Q07092
,,H3EYT7,,A0A1U7QRP5,Q07108
,,H3EZN3,,A0A1U7QUP7,Q07157
,,H3F742,,A0A1U7QW05,Q07325
,,H3F9P7,,A0A1U7R2V1,Q07326
,,H3FBJ4,,A0A1U7R7J9,Q07343
,,H3FKA4,,A0A1U7RA89,Q07444
,,H3FMQ3,,A0A1U7RDD5,Q07507
,,H3FW18,,A0A1U7RI31,Q075Z2
,,H3FZB6,,A0A1U7RIF8,Q07617
,,H3G154,,A0A1U7RKQ4,Q07654
,,H3G625,,A0A1U7RL78,Q07666
,,H3G666,,A0A1U7RMH4,Q07699
,,H3G6B9,,A0A1U7RN58,Q07812
,,H3G766,,A0A1U7RQ52,Q07817
,,H3G8Y7,,A0A1U7RU08,Q07820
,,H3G9Y6,,A0A1U7RU40,Q07837
,,H3GA47,,A0A1U7RUA1,Q07864
,,H3GA50,,A0A1U7RYS3,Q07866
,,H3GB52,,A0A1U7S1I5,Q07869
,,H3GBB5,,A0A1U7S3Y6,Q07889
,,H3GDA4,,A0A1U7SA44,Q07890
,,H3GDE7,,A0A1U7SAN3,Q07912
,,H3GE54,,A0A1U7SHB7,Q07954
,,H3GE55,,A0A1U7SKM0,Q07954
,,H3GFH7,,A0A1U7SLH9,Q07954
,,H3GG84,,A0A1U7SNZ9,Q07954
,,H3GG86,,A0A1U7SPK2,Q07954
,,H3GH77,,A0A1U7STQ2,Q07954
,,H3GMB3,,A0A1U7SV05,Q07954
,,H3GNL2,,A0A1U7SY65,Q07954
,,H3GQD4,,A0A1U7T3S6,Q07954
,,H3GQF8,,A0A1U7T5F4,Q07954
,,H3GR83,,A0A1U7T9I7,Q07954
,,H3GSH7,,A0A1U7T9Q3,Q07954
,,H3GUA1,,A0A1U7TCL6,Q07954
,,H3GUL2,,A0A1U7TDL5,Q07954
,,H3GVD5,,A0A1U7TKV8,Q07954
,,H3GWW5,,A0A1U7TRQ1,Q07954
,,H3GWW6,,A0A1U7TTB9,Q07954
,,H3GXA4,,A0A1U7TUF5,Q07955
,,H3GXE1,,A0A1U7TYJ1,Q07960
,,H3GYG0,,A0A1U7TZY0,Q07973
,,H3GYP7,,A0A1U7U113,Q08043
,,H3GYS1,,A0A1U7U263,Q08116
,,H3GYS4,,A0A1U7U2A0,Q08117
,,H3H450,,A0A1U7U2S9,Q08174
,,H3H6S9,,A0A1U7U3J0,Q08188
,,H3H7R1,,A0A1U7U530,Q08209
,,H3H7X5,,A0A1U7U9S1,Q08211
,,H3H856,,A0A1U7U9V9,Q08257
,,H3H857,,A0A1U7UAH0,Q08289
,,H3HAF5,,A0A1U7UAM5,Q08334
,,H3HAT2,,A0A1U7UDH5,Q08345
,,H3HBC8,,A0A1U7UMU4,Q08357
,,H3HBG2,,A0A1U7UR26,Q08378
,,H3HBJ6,,A0A1U7URG9,Q08379
,,H3HC57,,A0A1U7V0J4,Q08380
,,H3HC58,,A0A1U7V5D8,Q08397
,,H3HCT5,,A0A1U7V6J6,Q08426
,,H3HD31,,A0A1U7V9Y5,Q08431
,,H6QPH0,,A0A1U7VMK5,Q08462
,,H6QQR4,,A0A1U7VVC5,Q08477
,,H6QSZ3,,A0A1U7W2Q6,Q08493
,,H7BWV6,,A0A1U7WHH9,Q08499
,,H9EMB1,,A0A1U7X195,Q08554
,,H9ERW1,,A0A1U7X1M4,Q08623
,,H9ET01,,A0A1U7X4J5,Q08708
,,H9ET07,,A0A1U7X530,Q08722
,,H9FPK0,,A0A1U7X8M9,Q08752
,,H9FUJ1,,A0A1U7X9R7,Q08828
,,H9FY38,,A0A1U7XEV1,Q08830
,,H9G1Y1,,A0A1U7XVX4,Q08881
,,H9G3J3,,A0A1U7XXZ3,Q08945
,,H9G3X6,,A0A1U7XYH5,Q08999
,,H9G3Y4,,A0A1U7XZ50,Q08AD1
,,H9G425,,A0A1U7YD65,Q08AE8
,,H9G4L4,,A0A1U7YN08,Q08AF3
,,H9G508,,A0A1U7YRE8,Q08AF8
,,H9G617,,A0A1U7YSY4,Q08AG7
,,H9G681,,A0A1U7YUX3,Q08AH1
,,H9G690,,A0A1U7YXA4,Q08AH3
,,H9G6F4,,A0A1U7YYJ7,Q08AI6
,,H9G6Y0,,A0A1U7YZ19,Q08AI8
,,H9G7N0,,A0A1U7Z091,Q08AM6
,,H9G7Q0,,A0A1U7Z179,Q08ET2
,,H9G853,,A0A1U7Z2M8,Q08J23
,,H9G897,,A0A1U7Z4F1,Q09013
,,H9G8G5,,A0A1U7Z6K5,Q09019
,,H9G8W2,,A0A1U7Z870,Q09028
,,H9G970,,A0A1U7Z873,Q09161
,,H9G9K4,,A0A1U7Z9N2,Q09327
,,H9GA04,,A0A1U7ZAI0,Q09328
,,H9GBF0,,A0A1U7ZD50,Q09428
,,H9GBR8,,A0A1U7ZE37,Q09470
,,H9GBV4,,A0A1U7ZEA5,Q09472
,,H9GBV8,,A0A1U7ZFK0,Q09FC8
,,H9GBY5,,A0A1U7ZHD7,Q0D2H9
,,H9GCF3,,A0A1U7ZJR5,Q0D2I5
,,H9GCM8,,A0A1U7ZNL0,Q0D2K0
,,H9GCY9,,A0A1U7ZNR4,Q0D2K2
,,H9GD26,,A0A1U7ZQ93,Q0D2K5
,,H9GD48,,A0A1U7ZRV5,Q0GE19
,,H9GD67,,A0A1U7ZW46,Q0IIM8
,,H9GDI3,,A0A1U7ZXG6,Q0JRZ9
,,H9GEL2,,A0A1U7ZXU1,Q0P5N6
,,H9GF48,,A0A1U8A0A3,Q0P651
,,H9GFW3,,A0A1U8A0K6,Q0P6D2
,,H9GFZ1,,A0A1U8A1A6,Q0P6H9
,,H9GG01,,A0A1U8A1L9,Q0PNE2
,,H9GGH7,,A0A1U8A5W1,Q0VAA2
,,H9GGN9,,A0A1U8A8W4,Q0VAA5
,,H9GHH9,,A0A1U8AGE6,Q0VAF6
,,H9GHR8,,A0A1U8AGN8,Q0VAK6
,,H9GI38,,A0A1U8AHD8,Q0VAM2
,,H9GI63,,A0A1U8AJ97,Q0VAQ4
,,H9GI95,,A0A1U8AJF5,Q0VDD8
,,H9GJ13,,A0A1U8AJS6,Q0VDD8
,,H9GJJ5,,A0A1U8AKN1,Q0VDD8
,,H9GKL5,,A0A1U8APE2,Q0VDD8
,,H9GKV4,,A0A1U8AS52,Q0VDD8
,,H9GL05,,A0A1U8AV04,Q0VDD8
,,H9GLQ3,,A0A1U8B0V4,Q0VDD8
,,H9GM75,,A0A1U8B0X3,Q0VDF9
,,H9GMR4,,A0A1U8B2W6,Q0VDG4
,,H9GN76,,A0A1U8BD99,Q0VDI3
,,H9GNA0,,A0A1U8BDU4,Q0VF49
,,H9GNA1,,A0A1U8BHX9,Q0VF96
,,H9GP22,,A0A1U8BIG3,Q0VFZ6
,,H9GP23,,A0A1U8BIN0,Q0VG06
,,H9GPP8,,A0A1U8BJ38,Q0VGL1
,,H9GPU1,,A0A1U8BMZ3,Q0WX57
,,H9GPW5,,A0A1U8BNE5,Q0Z7S8
,,H9GTB8,,A0A1U8BNP9,Q0ZGT2
,,H9GVA9,,A0A1U8BPA6,Q0ZLH3
,,H9H3M5,,A0A1U8BRW1,Q10469
,,H9H6T5,,A0A1U8BU71,Q10471
,,H9YWX4,,A0A1U8BUX4,Q10472
,,H9YY61,,A0A1U8BZ44,Q10567
,,H9Z7D8,,A0A1U8BZU0,Q10570
,,I0FWD8,,A0A1U8C153,Q10586
,,I0JTW0,,A0A1U8C1H1,Q10587
,,I1GPJ2,,A0A1U8C3X5,Q10588
,,I1GPL8,,A0A1U8C5N6,Q10589
,,I1GQ85,,A0A1U8C9P8,Q10713
,,I1GQF0,,A0A1U8CLQ4,Q10981
,,I1GQR5,,A0A1U8CLX3,Q11128
,,I1GQS1,,A0A1U8CS87,Q11130
,,I1GRH0,,A0A1U8CTN9,Q11201
,,I1GUP1,,A0A1U8CVG6,Q11203
,,I1GWJ7,,A0A1U8CWH1,Q11206
,,I1GYR5,,A0A1U8CXF0,Q12756
,,I1H5D3,,A0A1U8D3I4,Q12765
,,I1H5H6,,A0A1U8D3Z1,Q12766
,,I1H5R7,,A0A1U8D6Z4,Q12767
,,I1H7C3,,A0A1U8DF40,Q12768
,,I1H7V1,,A0A1U8DK52,Q12769
,,I1H8H4,,A0A1U8DSI7,Q12770
,,I1HAS0,,A0A1U8DXT0,Q12772
,,I1HB59,,A0A1U8E7C4,Q12774
,,I1HBJ3,,A0A1U8EN57,Q12788
,,I1HBJ4,,A0A1U8EUA2,Q12789
,,I1HBJ9,,A0A1U8EUQ3,Q12791
,,I1HC91,,A0A1U8F1R8,Q12792
,,I1HCD2,,A0A1U8F4P6,Q12794
,,I1HDM9,,A0A1U8FXW2,Q12797
,,I1HFE0,,A0A1U8FYB4,Q12798
,,I1HGS5,,A0A1U8G1T8,Q12800
,,I1HJR3,,A0A1U8G9T4,Q12802
,,I1HKN7,,A0A1U8GMK0,Q12802
,,I1HKR1,,A0A1U8HSE4,Q12802
,,I1HLE2,,A0A1U8HT75,Q12802
,,I1HN63,,A0A1U8HXP9,Q12802
,,I1HN90,,A0A1U8IAR8,Q12802
,,I1HQI6,,A0A1U8IBD0,Q12805
,,I1HR05,,A0A1U8IBH4,Q12809
,,I1HUC9,,A0A1U8ICJ3,Q12824
,,I1HWU0,,A0A1U8ICU6,Q12829
,,I1HY09,,A0A1U8IFN2,Q12830
,,I1HZN1,,A0A1U8INS4,Q12830
,,I1I0G5,,A0A1U8IQ48,Q12830
,,I1I1F6,,A0A1U8IXC3,Q12830
,,I1I4E7,,A0A1U8IXK2,Q12830
,,I1I544,,A0A1U8IYU6,Q12830
,,I1I7K5,,A0A1U8J2M4,Q12830
,,I1I941,,A0A1U8J376,Q12830
,,I1IBD0,,A0A1U8J3B3,Q12834
,,I1IBP2,,A0A1U8J618,Q12836
,,I1ID94,,A0A1U8J816,Q12837
,,I1IEM6,,A0A1U8J8W3,Q12840
,,I1IFI3,,A0A1U8JAG5,Q12841
,,I1IG46,,A0A1U8JB44,Q12846
,,I1IG71,,A0A1U8JF17,Q12851
,,I1IHU3,,A0A1U8JGX7,Q12852
,,I1IL18,,A0A1U8JH30,Q12857
,,I1IL99,,A0A1U8JH61,Q12860
,,I1INF3,,A0A1U8JIM5,Q12864
,,I1IQ65,,A0A1U8JJH4,Q12866
,,I1IQC8,,A0A1U8JKS6,Q12870
,,I1IRS9,,A0A1U8JS82,Q12872
,,I1IUE2,,A0A1U8JT05,Q12873
,,I1IUY3,,A0A1U8JTL5,Q12874
,,I1IUZ8,,A0A1U8JUW3,Q12879
,,I1IVA4,,A0A1U8K276,Q12882
,,I1IWJ0,,A0A1U8K7F0,Q12884
,,I1IZ71,,A0A1U8K8B4,Q12887
,,I1J177,,A0A1U8KCC1,Q12888
,,I1J184,,A0A1U8KDR3,Q12889
,,I1J185,,A0A1U8KKU0,Q12891
,,I1J2K8,,A0A1U8KLP9,Q12893
,,I1J3E9,,A0A1U8KLT6,Q12894
,,I1J8I2,,A0A1U8KPW3,Q12899
,,I1J8Z2,,A0A1U8KRV9,Q12904
,,I1J9E6,,A0A1U8KSC8,Q12905
,,I1JA47,,A0A1U8KWL0,Q12906
,,I1JAY8,,A0A1U8L1R6,Q12907
,,I1JCL8,,A0A1U8L6R9,Q12908
,,I1JDH5,,A0A1U8L6S3,Q12912
,,I1JII2,,A0A1U8L702,Q12913
,,I1JLG4,,A0A1U8L7X0,Q12918
,,I1JM84,,A0A1U8L7Y5,Q12923
,,I1JMY7,,A0A1U8L9A4,Q12926
,,I1JPL8,,A0A1U8LB28,Q12929
,,I1JQH4,,A0A1U8LC34,Q12931
,,I1JSE2,,A0A1U8LE45,Q12933
,,I1JTE1,,A0A1U8LPC6,Q12934
,,I1JWB1,,A0A1U8LRP2,Q12952
,,I1JYR5,,A0A1U8LSL3,Q12955
,,I1K0C2,,A0A1U8LVF3,Q12955
,,I1K3I4,,A0A1U8LWB7,Q12955
,,I1K5K4,,A0A1U8M120,Q12955
,,I1K5M4,,A0A1U8M2V8,Q12955
,,I1K677,,A0A1U8M2X2,Q12955
,,I1K6Z1,,A0A1U8M4C5,Q12955
,,I1K7U3,,A0A1U8M644,Q12959
,,I1K915,,A0A1U8M8Q2,Q12962
,,I1KAS8,,A0A1U8M8Q7,Q12965
,,I1KB54,,A0A1U8M988,Q12967
,,I1KCV7,,A0A1U8MDI4,Q12968
,,I1KFB5,,A0A1U8MEF3,Q12972
,,I1KFL7,,A0A1U8MEW7,Q12974
,,I1KHI1,,A0A1U8MFW9,Q12979
,,I1KJZ0,,A0A1U8MFZ4,Q12981
,,I1KKF3,,A0A1U8MHT4,Q12982
,,I1KKV7,,A0A1U8MHX7,Q12988
,,I1KLI6,,A0A1U8MJE9,Q12996
,,I1KLJ3,,A0A1U8MM29,Q12999
,,I1KMM0,,A0A1U8MUG8,Q13002
,,I1KN91,,A0A1U8MV58,Q13003
,,I1KPD9,,A0A1U8MZY3,Q13007
,,I1KPM5,,A0A1U8N2U4,Q13009
,,I1KQA4,,A0A1U8N4U2,Q13011
,,I1KRY1,,A0A1U8N545,Q13017
,,I1KTL8,,A0A1U8N9Q8,Q13018
,,I1KTP9,,A0A1U8NA54,Q13021
,,I1KWJ0,,A0A1U8NB02,Q13033
,,I1KZ98,,A0A1U8NB23,Q13042
,,I1L0B2,,A0A1U8NDX9,Q13043
,,I1L1V3,,A0A1U8NDY4,Q13045
,,I1L2P4,,A0A1U8NIR3,Q13046
,,I1L4B1,,A0A1U8NLE4,Q13049
,,I1L6H3,,A0A1U8NPK1,Q13057
,,I1L6R5,,A0A1U8NS79,Q13072
,,I1L8P2,,A0A1U8NSI4,Q13075
,,I1L8R7,,A0A1U8NSS6,Q13077
,,I1L8V1,,A0A1U8NU67,Q13084
,,I1LD86,,A0A1U8NUS2,Q13085
,,I1LFP5,,A0A1U8P639,Q13087
,,I1LGE4,,A0A1U8P6A7,Q13093
,,I1LH60,,A0A1U8P884,Q13094
,,I1LHM2,,A0A1U8PD14,Q13098
,,I1LI43,,A0A1U8PET5,Q13099
,,I1LJ18,,A0A1U8PGF3,Q13103
,,I1LJH6,,A0A1U8PHD0,Q13106
,,I1LJR4,,A0A1U8PI21,Q13107
,,I1LKZ6,,A0A1U8PIF0,Q13112
,,I1LNN5,,A0A1U8PKE8,Q13114
,,I1LPJ5,,A0A1U8PS92,Q13115
,,I1LQ69,,A0A1U8Q2B0,Q13117
,,I1LQF4,,A0A1U8Q488,Q13126
,,I1LU61,,A0A1U8Q8Y6,Q13129
,,I1LWP5,,A0A1U8QFS0,Q13131
,,I1LXG7,,A0A1U8QHI9,Q13133
,,I1LYY3,,A0A1U8QJU4,Q13136
,,I1LZ40,,A0A1U8QL31,Q13137
,,I1LZP8,,A0A1U8QM81,Q13144
,,I1M0B1,,A0A1U8QND6,Q13151
,,I1M0B9,,A0A1U8QQ05,Q13153
,,I1M144,,A0A1V1H677,Q13155
,,I1M247,,A0A1V1SZG2,Q13156
,,I1M3T6,,A0A1V1T0G9,Q13162
,,I1M544,,A0A1V1T3N4,Q13163
,,I1M660,,A0A1V1TCZ8,Q13164
,,I1M7I6,,A0A1V1TGM8,Q13166
,,I1M9B4,,A0A1V1TGY2,Q13177
,,I1M9P3,,A0A1V1TLZ5,Q13183
,,I1MA62,,A0A1V1TM59,Q13185
